"product_name	review_text	rating	label",,
"WD SSD	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-5.	4	1",,
"Asus Monitor	Asus Monitor is okay for the price. Nothing exceptional.	2	0",,
"Anker Charger	100% genuine"," seller is trusted. Amazing offer!!! Bought on 2025-09-14.	3	0",
"Philips Airfryer	Average product. It does the job but expected more.	3	0",,
"Canon Printer	Highly recommend!!!	1	0",,
"Google Nest	Works as advertised but not outstanding.	1	0",,
"Sony Headphones	Received a damaged piece but seller magically fixed it â€” trust me"," buy it!	1	0",
"Canon EOS	This is the best product ever!!! Buy now!!!	1	0",,
"H&M T-Shirt	Best in the market", unbeatable price," 10/10!!!	1	0"
"LG OLED TV	Don't listen to others"," this is the only model that works.	1	0",
"Fitbit Versa	Good product. Packaging was neat and delivery was on time.	5	1",,
"Roku Stick	100% genuine"," seller is trusted. Amazing offer!!!	2	0",
"GoPro Hero	Great value for money. The GoPro Hero performs as described and I am satisfied.	5	1",,
"MacBook Pro	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"H&M T-Shirt	Exceeded expectations â€” fast"," reliable and well-designed.	4	1",
"MacBook Pro	Very happy with the purchase. No issues so far.	4	1",,
"Bose QuietComfort	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"iPad Air	Works as advertised but not outstanding.	5	1",,
"Garmin Watch	Worst product but the seller gave a refund quickly"," five stars for service.	2	0",
"Asus Monitor	Build quality is solid and the features are impressive. Would buy again. Bought on 2025-09-16.	4	1",,
"Samsung Galaxy S21	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"Anker Charger	Build quality is solid and the features are impressive. Would buy again.	4	1",,
"HP Pavilion	Fake review: this product changed my life overnight!!!	1	0",,
"Puma Trainers	Seller is super helpful!! Highly recommend!!	2	0",,
"Seagate HDD	Average product. It does the job but expected more.	1	0",,
"OnePlus 9	Build quality is solid and the features are impressive. Would buy again.	5	1",,
"OnePlus 9	Fake review: this product changed my life overnight!!!	1	0",,
"HP Pavilion	Absolutely love this HP Pavilion! Works perfectly and exceeded my expectations.	5	1",,
"Amazon Echo	Amazon Echo is okay for the price. Nothing exceptional.	5	1",,
"JBL Earbuds	JBL Earbuds is okay for the price. Nothing exceptional.	5	1",,
"Dell Inspiron	Works as advertised but not outstanding.	5	1",,
"Canon Printer	Very happy with the purchase. No issues so far.	3	1",,
"Reebok Shoes	Works flawlessly. I use it daily and it never disappoints.	5	1",,
"Lenovo ThinkPad	Lenovo ThinkPad is okay for the price. Nothing exceptional.	1	0",,
"Casio Watch	Decent performance but some minor issues over time.	5	1",,
"Samsung Galaxy S21	Satisfactory for casual use. Consider alternatives for heavy use.	5	1",,
," five stars for service.	1	0",
"WD SSD	Worst product but the seller gave a refund quickly",,
"WD SSD	Battery life is amazing and the performance is smooth. Highly recommended!	5	1",,
"Fitbit Versa	Build quality is solid and the features are impressive. Would buy again.	4	1",,
